Canal,Marca,Origem Tráfego,MDP,Parcelamento,Receita,Pedidos,Mês/Ano,Custo Parcelamento,Volume Venda
1P,SHOP,BUSCA ORGANICA,CARTAO,A VISTA,1068.67970602965,12.286701063,6/2020,0.0,13130.548080081033
3P,ACOM,BUSCA ORGANICA,BOLETO,A VISTA,604934.7738841813,5828.226213672,4/2020,0.0,3525696706.7135296
1P,ACOM,AFILIADOS,AME,A VISTA,337132.69305313675,4961.406204612,8/2020,0.0,1672652235.0913856
3P,SHOP,BUSCA PPC,CARTAO,A VISTA,250920.9302849128,1829.028396816,4/2020,0.0,458941506.8465933
1P,ACOM,BUSCA PPC,PIX,A VISTA,105059.85388855284,1928.034770922,6/2021,0.0,202559051.3251148
3P,ACOM,COMPARADORES,CARTAO,A PRAZO,17662.47913785964,88.84280154400001,2/2022,88.3123956892982,1569184.1288199043
3P,SHOP,COMPARADORES,BOLETO,A VISTA,8796.787750136069,50.71736651999999,1/2020,0.0,446149.9085222971
3P,SHOP,COMPARADORES,BOLETO,A VISTA,8643.24581160462,50.73288591000001,9/2020,0.0,438496.8036522226
1P,SHOP,COMPARADORES,PIX,A VISTA,673.79826172113,6.437511756,6/2021,0.0,4337.584231002139
1P,SUBA,AFILIADOS,CARTAO,A PRAZO,3740.427135530641,36.836824104,4/2020,18.702135677653203,137785.45646537078
1P,SHOP,TRAFEGO DIRETO,AME,A VISTA,1519.4904386124003,17.133406560000005,3/2020,0.0,26034.047448778983
3P,B2B,BUSCA PPC,CARTAO,A VISTA,4029.952466488201,17.195380944000004,2/2022,0.0,69296.56784747702
1P,SUBA,COMPARADORES,CARTAO,A VISTA,677.28505117824,9.609606288,4/2020,0.0,6508.442686570817
3P,ACOM,BUSCA PPC,AME,A VISTA,884304.312768073,7686.704204952,5/2020,0.0,6797385679.411535
1P,SUBA,AFILIADOS,AME,A VISTA,499.86561548778,6.245002536,2/2020,0.0,3121.662036380387
3P,SOUB,AFILIADOS,CARTAO,A PRAZO,1316.3631222955198,6.807483695999999,8/2021,6.581815611477599,8961.120493042405
1P,ACOM,TRAFEGO DIRETO,AME,A VISTA,406204.5331506018,5458.625733066,5/2020,0.0,2217318517.5439363
3P,B2B,TRAFEGO DIRETO,CARTAO,A PRAZO,5324.927119379399,20.417309484,8/2020,26.624635596897,108720.6849761138
1P,ACOM,TRAFEGO DIRETO,AME,A VISTA,1828302.3121448527,36940.347746934,12/2020,0.0,67538123197.154335
3P,ACOM,BUSCA ORGANICA,BOLETO,A VISTA,299957.8307413724,2506.855871052,8/2021,0.0,751951049.0620313
3P,ACOM,BUSCA PPC,PIX,A VISTA,987287.7955109637,5715.2933752320005,4/2022,0.0,5642639397.131216
3P,ACOM,AFILIADOS,AME,A VISTA,371286.3600117829,2685.66147828,3/2020,0.0,997149474.4944452
1P,ACOM,BUSCA ORGANICA,CARTAO,A PRAZO,237155.37926011608,4188.173430816,4/2021,1185.7768963005803,993247858.39231
3P,SUBA,TRAFEGO DIRETO,CARTAO,A VISTA,67123.14795027998,397.86213240000006,10/2021,0.0,26705758.776899084
1P,ACOM,AFILIADOS,PIX,A VISTA,50175.84554299099,3783.472509402001,2/2021,0.0,189838932.24790728
3P,SUBA,BUSCA PPC,BOLETO,A VISTA,93176.06233737365,625.512117828,8/2020,0.0,58282756.08352432
3P,SUBA,AFILIADOS,CARTAO,A VISTA,212726.39894250347,1053.6532894529998,1/2020,0.0,224139869.99925992
1P,SHOP,AFILIADOS,CARTAO,A PRAZO,14564.75191462704,152.87821785600002,4/2022,72.82375957313519,2226633.3162229457
3P,SUBA,BUSCA PPC,CARTAO,A VISTA,72591.54584363691,626.4184502040001,7/2020,0.0,45472683.64528366
3P,SUBA,BUSCA PPC,BOLETO,A VISTA,28401.231979769967,143.611723356,12/2021,0.0,4078749.870048305
1P,ACOM,COMPARADORES,AME,A VISTA,6102.464028760799,80.054812971,7/2021,0.0,488531.6164847009
3P,SHOP,COMPARADORES,BOLETO,A VISTA,2143.4485566287703,22.872803706000003,7/2021,0.0,49026.67808967889
3P,SHOP,AFILIADOS,CARTAO,A VISTA,16435.524422724,141.74790050400003,10/2020,0.0,2329701.080603344
3P,ACOM,AFILIADOS,CARTAO,A PRAZO,364931.0942312228,2351.34243498,5/2021,1824.655471156114,858077967.7095591
1P,ACOM,TRAFEGO DIRETO,PIX,A VISTA,7149.433336662689,246.859177035,12/2020,0.0,1764903.2297551453
1P,SUBA,TRAFEGO DIRETO,AME,A VISTA,588.50110409064,7.424476176,8/2020,0.0,4369.312426870652
